Lviv-50-24,50,24
Trento-46-11,46,11
Sibiu-46-24,46,24
Lyon-46-05,46,5
Ustyluh-51-24,51,24
Brussels-51-05,51,5
51x9,51,9
51x8,51,8
51x6,51,6
51x6,51,6
51x23,51,23
51x22,51,22
51x21,51,21
51x20,51,20
51x19,51,19
51x18,51,18
51x17,51,17
51x16,51,16
51x15,51,15
51x14,51,14
51x13,51,13
51x12,51,12
51x11,51,11
51x10,51,10
50x9,50,9
50x8,50,8
50x7,50,7
50x6,50,6
50x5,50,5
50x23,50,23
50x22,50,22
50x21,50,21
50x20,50,20
50x19,50,19
50x18,50,18
50x17,50,17
50x16,50,16
50x15,50,15
50x14,50,14
50x13,50,13
50x12,50,12
50x11,50,11
50x10,50,10
49x9,49,9
49x8,49,8
49x7,49,7
49x6,49,6
49x5,49,5
49x24,49,24
49x23,49,23
49x22,49,22
49x21,49,21
49x20,49,20
49x19,49,19
49x18,49,18
49x17,49,17
49x16,49,16
49x15,49,15
49x14,49,14
49x13,49,13
49x12,49,12
49x11,49,11
49x10,49,10
48x9,48,9
48x8,48,8
48x7,48,7
48x6,48,6
48x5,48,5
48x24,48,24
48x23,48,23
48x22,48,22
48x21,48,21
48x20,48,20
48x19,48,19
48x18,48,18
48x17,48,17
48x16,48,16
48x15,48,15
48x14,48,14
48x13,48,13
48x12,48,12
48x11,48,11
48x10,48,10
47x9,47,9
47x8,47,8
47x7,47,7
47x6,47,6
47x5,47,5
47x24,47,24
47x23,47,23
47x22,47,22
47x21,47,21
47x20,47,20
47x19,47,19
47x18,47,18
47x17,47,17
47x16,47,16
47x15,47,15
47x14,47,14
47x13,47,13
47x12,47,12
47x11,47,11
47x10,47,10
46x9,46,9
46x8,46,8
46x7,46,7
46x6,46,6
46x23,46,23
46x22,46,22
46x21,46,21
46x20,46,20
46x19,46,19
46x18,46,18
46x17,46,17
46x16,46,16
46x15,46,15
46x14,46,14
46x13,46,13
46x12,46,12
46x10,46,10
